uptime_id,ts,site_count,ts_updated
3338,"2018-10-02 09:00:00",26,"2018-10-02 10:00:00"
3337,"2018-10-02 08:00:00",23,"2018-10-02 08:30:00"
3336,"2018-10-02 07:30:00",26,"2018-10-02 07:30:00"
3335,"2018-10-02 07:00:00",24,"2018-10-02 07:00:00"
3334,"2018-10-01 18:30:00",21,"2018-10-02 06:30:00"
3333,"2018-10-01 14:30:00",22,"2018-10-01 18:00:00"
3332,"2018-10-01 12:30:00",21,"2018-10-01 14:00:00"
3331,"2018-10-01 12:00:00",22,"2018-10-01 12:00:00"
3330,"2018-10-01 11:30:00",24,"2018-10-01 11:30:00"
3329,"2018-10-01 10:30:00",23,"2018-10-01 11:00:00"
3328,"2018-10-01 10:00:00",22,"2018-10-01 10:00:00"
3327,"2018-10-01 09:00:00",24,"2018-10-01 09:30:00"
3326,"2018-10-01 08:30:00",23,"2018-10-01 08:30:00"
3325,"2018-10-01 08:00:00",22,"2018-10-01 08:00:00"
3324,"2018-10-01 07:30:00",20,"2018-10-01 07:30:00"
3323,"2018-10-01 07:00:00",16,"2018-10-01 07:00:00"
3322,"2018-10-01 06:00:00",15,"2018-10-01 06:30:00"
3321,"2018-10-01 05:30:00",14,"2018-10-01 05:30:00"
3320,"2018-10-01 04:30:00",15,"2018-10-01 05:00:00"
3319,"2018-10-01 03:30:00",14,"2018-10-01 04:00:00"
3318,"2018-09-30 23:30:00",15,"2018-10-01 03:00:00"
3317,"2018-09-30 13:00:00",16,"2018-09-30 23:00:00"
3316,"2018-09-30 12:30:00",15,"2018-09-30 12:30:00"
3315,"2018-09-30 08:30:00",16,"2018-09-30 12:00:00"
3314,"2018-09-30 08:00:00",15,"2018-09-30 08:00:00"
3313,"2018-09-30 06:30:00",16,"2018-09-30 07:30:00"
3312,"2018-09-30 06:00:00",15,"2018-09-30 06:00:00"
3311,"2018-09-29 11:00:00",16,"2018-09-30 05:30:00"
3310,"2018-09-29 08:30:00",22,"2018-09-29 10:30:00"
3309,"2018-09-29 07:30:00",21,"2018-09-29 08:00:00"
3308,"2018-09-29 04:00:00",22,"2018-09-29 07:00:00"
3307,"2018-09-29 03:00:00",21,"2018-09-29 03:30:00"
3306,"2018-09-29 00:00:00",22,"2018-09-29 02:30:00"
3305,"2018-09-28 12:30:00",33,"2018-09-28 23:30:00"
3304,"2018-09-28 12:00:00",32,"2018-09-28 12:00:00"
3303,"2018-09-28 11:00:00",33,"2018-09-28 11:30:00"
3302,"2018-09-28 10:00:00",31,"2018-09-28 10:30:00"
3301,"2018-09-28 09:30:00",28,"2018-09-28 09:30:00"
3300,"2018-09-28 09:00:00",26,"2018-09-28 09:00:00"
3299,"2018-09-28 08:30:00",25,"2018-09-28 08:30:00"
3298,"2018-09-28 08:00:00",24,"2018-09-28 08:00:00"
3297,"2018-09-28 06:00:00",22,"2018-09-28 07:30:00"
3296,"2018-09-27 23:00:00",21,"2018-09-28 05:30:00"
3295,"2018-09-27 19:00:00",22,"2018-09-27 22:30:00"
3294,"2018-09-27 18:30:00",21,"2018-09-27 18:30:00"
3293,"2018-09-27 16:30:00",22,"2018-09-27 18:00:00"
3292,"2018-09-27 16:00:00",21,"2018-09-27 16:00:00"
3291,"2018-09-27 15:00:00",22,"2018-09-27 15:30:00"
3290,"2018-09-27 14:00:00",21,"2018-09-27 14:30:00"
3289,"2018-09-27 13:30:00",22,"2018-09-27 13:30:00"
3288,"2018-09-27 13:00:00",21,"2018-09-27 13:00:00"
3287,"2018-09-27 12:30:00",20,"2018-09-27 12:30:00"
3286,"2018-09-27 12:00:00",21,"2018-09-27 12:00:00"
3285,"2018-09-27 11:00:00",22,"2018-09-27 11:30:00"
3284,"2018-09-27 10:30:00",20,"2018-09-27 10:30:00"
3283,"2018-09-27 10:00:00",19,"2018-09-27 10:00:00"
3282,"2018-09-27 09:30:00",20,"2018-09-27 09:30:00"
3281,"2018-09-27 09:00:00",18,"2018-09-27 09:00:00"
3280,"2018-09-27 06:00:00",15,"2018-09-27 08:30:00"
3279,"2018-09-27 05:30:00",14,"2018-09-27 05:30:00"
3278,"2018-09-27 00:30:00",15,"2018-09-27 05:00:00"
3277,"2018-09-27 00:00:00",14,"2018-09-27 00:00:00"
3276,"2018-09-26 20:00:00",15,"2018-09-26 23:30:00"
3275,"2018-09-26 19:00:00",17,"2018-09-26 19:30:00"
3274,"2018-09-26 14:00:00",16,"2018-09-26 18:30:00"
3273,"2018-09-26 12:30:00",15,"2018-09-26 13:30:00"
3272,"2018-09-26 04:00:00",21,"2018-09-26 12:00:00"
3271,"2018-09-26 01:30:00",22,"2018-09-26 03:30:00"
3270,"2018-09-26 01:00:00",18,"2018-09-26 01:00:00"
3269,"2018-09-26 00:00:00",2,"2018-09-26 00:30:00"
3268,"2018-09-25 15:30:00",24,"2018-09-25 23:30:00"
3267,"2018-09-25 14:00:00",23,"2018-09-25 15:00:00"
3266,"2018-09-25 11:30:00",22,"2018-09-25 13:30:00"
3265,"2018-09-25 11:00:00",18,"2018-09-25 11:00:00"
3264,"2018-09-25 10:30:00",16,"2018-09-25 10:30:00"
